N,K,STRATEGY,SEARCH ITERATIONS,PERFORMANCE,SOLUTION,TIME TAKEN,IMPROVEMENT
12,5,Local Search,11.0,0.9914434278893012,000000010000,0.029116785526275633,0.31839286565651537
12,5,Local Search,11.0,0.8150849196202883,101110001110,0.07167547941207886,0.2826532505059016
12,5,Local Search,11.0,0.9253531505607397,010001000000,0.0313144048055013,0.43278503673159785
12,5,Local Search,11.0,0.8977742428532134,001000010000,0.025219547748565673,0.4354157328439353
12,5,Local Search,11.0,0.9323110895901509,000001000010,0.02722976605097453,0.2669983458251248
12,5,Local Search,11.0,0.9784706314159374,000000000010,0.03510137399037679,0.5088268203732622
12,5,Local Search,11.0,0.982267562946531,001000010000,0.03625951608022054,0.6741436344700111
12,5,Local Search,11.0,0.9663407567658397,000000000010,0.038445480664571124,0.5581870864901097
12,5,Local Search,11.0,0.988323152991033,000000000010,0.03901387055714925,0.47488726519066726
12,5,Local Search,11.0,0.9543495836220759,100000100000,0.03935269514719645,0.5342740706293673
