N,K,STRATEGY,SEARCH ITERATIONS,PERFORMANCE,SOLUTION,TIME TAKEN,IMPROVEMENT
12,5,Local Search,11.0,0.7509907471316949,000100110000,0.02848782142003377,0.5286900170408395
12,5,Local Search,11.0,0.926596008167299,000000010000,0.018446652094523112,0.6623615546785249
12,5,Local Search,11.0,0.8713435547353765,100010000000,0.02853127320607503,0.5566187197213042
12,5,Local Search,11.0,0.8802600793498163,100001000000,0.02610281705856323,0.4561302057935814
12,5,Local Search,11.0,0.9059121687113464,001000000100,0.030801852544148762,0.33819149054744113
12,5,Local Search,11.0,0.8408039829340469,110000000010,0.02853358586629232,0.18260112811513196
12,5,Local Search,11.0,0.9265796740154857,010101010000,0.030225316683451336,0.08346772179202855
12,5,Local Search,11.0,0.6350121156925204,111110101100,0.023993738492329917,-0.018329590488758374
12,5,Local Search,11.0,0.9833513542858919,000000010000,0.023316097259521485,0.6846377811577632
12,5,Local Search,11.0,0.7562435450082275,010010000000,0.026099018255869546,0.38387105081773315
