N,K,STRATEGY,SEARCH ITERATIONS,PERFORMANCE,SOLUTION,TIME TAKEN,IMPROVEMENT
12,5,Local Search,1.0,0.9290839046932223,010100001110,0.4583625793457031,0.9060368310895109
12,5,Local Search,1.0,0.9984447802159815,101110011011,0.7187385559082031,0.8659821331942947
12,5,Local Search,2.0,0.944214325529262,011111011101,1.478665828704834,0.09241782143801813
12,5,Local Search,2.0,0.8667540403416987,000100010000,0.583249568939209,0.3780935177397605
12,5,Local Search,0.0,0.7983341384193318,010110111011,0.20792722702026367,0.0
12,5,Local Search,2.0,0.9881249576124801,101011001111,1.291811227798462,0.5946162887136026
12,5,Local Search,2.0,0.9985731919510562,011010001110,1.0050930976867676,0.5602460584960323
12,5,Local Search,3.0,0.986954385564485,011111001111,2.0417802333831787,0.4321907066910329
12,5,Local Search,0.0,0.9688794046176235,000001111010,0.1509568691253662,0.0
12,5,Local Search,3.0,0.9773059180080146,100001001001,1.1718637943267822,0.7188408798200199
12,5,Local Search,1.0,0.9467784183954253,010110000001,0.39089012145996094,0.6608110210080783
12,5,Local Search,3.0,0.9966077882924245,011101110101,1.8911046981811523,0.5709992888058826
12,5,Local Search,0.0,0.6266012118783384,100001000101,0.11217403411865234,0.0
12,5,Local Search,2.0,0.9860451161021093,101110001101,1.3690376281738281,0.6998360040393301
12,5,Local Search,1.0,0.976522880938347,010101111111,0.7497642040252686,0.4482139369483529
12,5,Local Search,1.0,0.9239418475791916,111111000110,0.7080836296081543,0.13768422028145355
12,5,Local Search,1.0,0.9781773033045087,000100100011,0.42156505584716797,0.5701096947945302
12,5,Local Search,3.0,0.9524250891920731,011111100000,1.6873486042022705,0.8884127163156953
12,5,Local Search,1.0,0.9932946364552999,111011010101,0.7643616199493408,0.7101301228906867
12,5,Local Search,3.0,0.9588968246014141,010010000011,1.2080180644989014,0.8138531623860389
12,5,Local Search,3.0,0.9990614852233606,000000000011,1.3344578742980957,0.975756741640961
12,5,Local Search,0.0,0.9315869690455603,110101001000,0.1664443016052246,0.0
12,5,Local Search,3.0,0.9932506221560217,110011100100,1.6250152587890625,0.4925848755002118
12,5,Local Search,2.0,0.9006687615257206,100111010010,0.8125898838043213,0.4063822415378486
12,5,Local Search,2.0,0.9887551080943373,100110111011,1.4011926651000977,0.7968392380614351
12,5,Local Search,1.0,0.842598158430371,000001100111,0.3545186519622803,0.27178551531505335
12,5,Local Search,2.0,0.9949735903721431,110100010000,0.8235483169555664,0.48534451265093126
12,5,Local Search,2.0,0.9756723856948669,010010000011,0.520744800567627,0.26698905188629773
12,5,Local Search,0.0,0.9047526938531295,011100101000,0.1666710376739502,0.0
12,5,Local Search,2.0,0.9291480437525191,010001001100,0.7497150897979736,0.8662521691055436
12,5,Local Search,2.0,0.9993168169358518,110110000111,0.9792616367340088,0.5726135858649777
12,5,Local Search,3.0,0.8919473465061267,101011011111,1.4740402698516846,0.4358243080409998
12,5,Local Search,2.0,0.9585582467658007,000000000010,0.7708253860473633,0.09299698738205486
