N,K,STRATEGY,SEARCH ITERATIONS,PERFORMANCE,SOLUTION,TIME TAKEN,IMPROVEMENT
12,5,Local Search,3.0,0.873699437262509,001000101010,0.5942823886871338,0.31771419311691373
12,5,Local Search,3.0,0.9002262612466023,000000010000,0.5411722660064697,0.3779629166131133
12,5,Local Search,4.0,0.9240275808775639,110010000000,0.6873466968536377,0.522791895553349
12,5,Local Search,2.0,0.8684107752494489,001100101101,0.4375145435333252,0.22557403122939645
12,5,Local Search,3.0,0.9914742580790656,000000000001,0.41674113273620605,0.49002803961077657
12,5,Local Search,3.0,0.882975376819146,100101001010,0.5417392253875732,0.48806064370276697
12,5,Local Search,3.0,0.9942919246814947,000000100000,0.42198824882507324,0.38944355373194073
12,5,Local Search,1.0,0.8975963530969654,100010000001,0.18729352951049805,0.34183402359171466
12,5,Local Search,3.0,0.9210753486601396,100001000000,0.5207512378692627,0.6542562912968579
12,5,Local Search,2.0,0.9567203542165457,010000000000,0.22404837608337402,0.14988577789767266
12,5,Local Search,2.0,0.8583298026274138,000000001100,0.24466180801391602,0.25146033167522996
12,5,Local Search,3.0,0.9889074992874769,001000001000,0.4583299160003662,0.4470066461037232
12,5,Local Search,3.0,0.783876865927701,000101001100,0.5494301319122314,0.4384843998429772
12,5,Local Search,2.0,0.9805008411392583,100000100000,0.29154372215270996,0.3679991707956647
12,5,Local Search,2.0,0.9612039319233894,001000001000,0.312640905380249,0.3910599251137634
12,5,Local Search,3.0,0.8639497742147272,000000000010,0.7498657703399658,0.3454490402189784
12,5,Local Search,3.0,0.818536401036194,010001000000,0.5205891132354736,0.5051407847472855
12,5,Local Search,3.0,0.9689681881356113,000000000001,0.43804454803466797,0.29374796485115806
12,5,Local Search,5.0,0.9262100667380614,100000000010,0.5461859703063965,0.28492166155424814
12,5,Local Search,1.0,0.9198343224148179,010000100010,0.19142675399780273,0.24080818781563473
12,5,Local Search,3.0,0.8577072852427298,000000100011,0.6210978031158447,0.32994836424716334
12,5,Local Search,2.0,0.9889167865184159,000011000001,0.3074512481689453,0.513333814645396
12,5,Local Search,1.0,0.9363460548611439,000001001000,0.16775798797607422,0.3295676004458601
12,5,Local Search,4.0,0.9472325179653811,000001000000,0.5201754570007324,0.4741610416353427
12,5,Local Search,3.0,0.9070837639975926,000000100000,0.3805577754974365,0.5278870855923832
12,5,Local Search,3.0,0.9747618685708301,000000000100,0.41080331802368164,0.6744345895564603
12,5,Local Search,4.0,0.8996147948578164,001001001110,0.7449431419372559,0.3814952422583229
12,5,Local Search,2.0,0.9592215098002206,100000110000,0.25028324127197266,0.45708403459671354
12,5,Local Search,3.0,0.9928871285517372,000000000010,0.42879199981689453,0.4192347894624179
12,5,Local Search,2.0,0.7766624061957744,011110100110,0.6439030170440674,0.16262870783265682
12,5,Local Search,3.0,0.9617506544234391,100010000000,0.4429187774658203,0.48244763722278006
12,5,Local Search,2.0,0.9839406605114733,100000000000,0.2758920192718506,0.295362234107444
12,5,Local Search,3.0,0.9865035738841208,001000000100,0.5000104904174805,0.3434191438287052
12,5,Local Search,4.0,0.9786640347816196,000000001000,0.6665213108062744,0.5294927419393105
12,5,Local Search,2.0,0.9032583055578343,001000010000,0.28644299507141113,0.2522801804250424
12,5,Local Search,3.0,0.8528636514241297,000000010010,0.29197001457214355,0.41620688270002604
12,5,Local Search,2.0,0.9689345880828465,011001000000,0.3331434726715088,0.6654808573584634
12,5,Local Search,2.0,0.8857089466992293,000000000010,0.5888135433197021,0.3351754736820306
12,5,Local Search,3.0,0.8333873139517636,010000000010,0.4370076656341553,0.2865060866967414
12,5,Local Search,3.0,0.9050111302554654,100001000010,0.41675615310668945,0.4244791852611657
12,5,Local Search,3.0,0.9171993024454398,001010001000,0.46156859397888184,0.341095692369908
12,5,Local Search,4.0,0.9451433604899149,010000010000,0.5002570152282715,0.4111579092896923
12,5,Local Search,3.0,0.7866214723265124,000100000100,0.35399580001831055,0.35419678469981375
12,5,Local Search,3.0,0.8493889534176287,011000001010,0.6250338554382324,0.39503825281843596
12,5,Local Search,2.0,0.8279405541236936,010001001000,0.29198193550109863,0.29571547101175133
12,5,Local Search,3.0,0.8239449355958224,010100100101,0.5782191753387451,0.4340456826754399
12,5,Local Search,5.0,0.956305138079574,000000100000,0.5207793712615967,0.3426302220350367
12,5,Local Search,1.0,0.9788783414077821,101000000010,0.1823408603668213,0.226143692556674
12,5,Local Search,4.0,0.9770761813271917,000000000001,0.5008761882781982,0.7416093227860086
12,5,Local Search,4.0,0.9288915893679845,000000100000,0.5677328109741211,0.29930542021844453
12,5,Local Search,3.0,0.9147930213933673,000000001000,0.5000612735748291,0.4114767311759583
12,5,Local Search,1.0,0.8121756372679013,110100000000,0.15090417861938477,0.42134282187935646
12,5,Local Search,2.0,0.907427834565802,000100010000,0.2560844421386719,0.5375652800952135
12,5,Local Search,1.0,0.9767541460126096,000000000010,0.08855915069580078,0.08801100133609452
12,5,Local Search,2.0,0.8979679126344594,100000101010,0.3520381450653076,0.7614445184135731
12,5,Local Search,3.0,0.8314396407171211,010000111100,0.5532114505767822,0.34589112567076524
12,5,Local Search,3.0,0.8672157472913952,100001111000,0.6253612041473389,0.46167681002594035
12,5,Local Search,1.0,0.9619985520763699,100001000010,0.208176851272583,0.375613885621345
12,5,Local Search,4.0,0.8059341097892248,100000110101,0.8207371234893799,0.24960131034866806
12,5,Local Search,0.0,0.6704824459408429,010000011001,0.08057570457458496,0.0
12,5,Local Search,2.0,0.8479111530464939,100010000100,0.2972290515899658,0.24278226617771104
12,5,Local Search,2.0,0.9452448140693562,000100001000,0.27074217796325684,0.4624476725450916
12,5,Local Search,4.0,0.9036472327348942,001001010000,0.5156512260437012,0.3008787062547237
12,5,Local Search,4.0,0.9798710436946234,000100001000,0.4792354106903076,0.35240609664603817
12,5,Local Search,3.0,0.8939895922870564,111001000001,0.6665120124816895,0.3564343775297669
12,5,Local Search,2.0,0.8685439081680851,001000000000,0.29187607765197754,0.19261823510290588
12,5,Local Search,2.0,0.9977293487789143,000000100010,0.3123600482940674,0.5020584572594196
12,5,Local Search,2.0,0.952126099027936,100010000000,0.2711825370788574,0.16769691439096523
12,5,Local Search,3.0,0.8512698936556669,011010000010,0.6037924289703369,0.1990361017174772
12,5,Local Search,4.0,0.882821453587369,001000100100,0.5207350254058838,0.29948243661376517
12,5,Local Search,3.0,0.988115210718569,000001000000,0.33838605880737305,0.554734614513698
12,5,Local Search,2.0,0.8114282938132249,001011110101,0.46354126930236816,0.5438241475642556
12,5,Local Search,3.0,0.9168165418943853,001000001000,0.37510156631469727,0.6869129040660806
12,5,Local Search,3.0,0.9990918348408995,000000000010,0.33338117599487305,0.6056960740543884
12,5,Local Search,3.0,0.8838047355720262,000111110000,0.6093888282775879,0.19838487200097876
12,5,Local Search,3.0,0.9999676070912681,000001000000,0.4167048931121826,0.5838230131859683
12,5,Local Search,2.0,0.6444822618303785,110100111010,0.4998152256011963,0.35434138955245026
12,5,Local Search,2.0,0.8303302533267715,001010001011,0.40141725540161133,0.38123039031301775
12,5,Local Search,2.0,0.9901863827016216,000000000010,0.2915036678314209,0.3405867591077788
12,5,Local Search,3.0,0.9386145660403665,000000000001,0.3751082420349121,0.47531670202139
12,5,Local Search,3.0,0.9918043653087774,000000000100,0.4217252731323242,0.5743807953353168
12,5,Local Search,3.0,0.9029168159148783,010000000000,0.44263410568237305,0.5699183929399017
12,5,Local Search,4.0,0.9358799149336104,001000000000,0.5418646335601807,0.41256660748471585
12,5,Local Search,4.0,0.9629181573461383,100000001000,0.5624067783355713,0.21326218276636388
12,5,Local Search,5.0,0.9921234043208192,000000000100,0.6666393280029297,0.44065698827353617
12,5,Local Search,1.0,0.6934287285457712,001000010010,0.1718282699584961,0.21933189055583935
12,5,Local Search,5.0,0.930877928866559,000000010000,0.8124737739562988,0.42963493601675273
12,5,Local Search,3.0,0.87894878597344,000000000001,0.2708127498626709,0.17064015614260997
12,5,Local Search,2.0,0.8878779506185782,010010001000,0.3096792697906494,0.39927585931766196
12,5,Local Search,3.0,0.9130182807479021,010000000010,0.35565996170043945,0.5370451852558755
12,5,Local Search,5.0,0.8081860595193163,111111010110,1.5831665992736816,0.36708295653330614
12,5,Local Search,3.0,0.935339378916526,010010000001,0.4167027473449707,0.5418388758005107
12,5,Local Search,1.0,0.8248953411182471,100000100010,0.20832085609436035,0.19491673039489565
12,5,Local Search,1.0,0.9180738541707566,100001000001,0.14582395553588867,0.35300596557460096
12,5,Local Search,3.0,0.8555435660496175,011101010010,0.7920103073120117,0.19715290814068986
12,5,Local Search,3.0,0.983858886781369,000000100000,0.36263132095336914,0.5966982941024411
12,5,Local Search,3.0,0.9657252346794014,000000000110,0.5264298915863037,0.5231978060802198
12,5,Local Search,2.0,0.8853519014016404,000100010000,0.21320462226867676,0.1350090760460314
12,5,Local Search,3.0,0.9757167678871148,010000001000,0.5679235458374023,0.5347187828705939
12,5,Local Search,4.0,0.9071069063471846,010000001010,0.7084565162658691,0.2642906257176014
12,5,Local Search,2.0,0.983336165081356,010010001000,0.31207823753356934,0.47734526326005555
12,5,Local Search,3.0,0.8109871132384161,010101101000,0.645930290222168,0.14842175448878037
12,5,Local Search,0.0,0.7550958871253834,010001000011,0.06247091293334961,0.0
12,5,Local Search,4.0,0.8791472523809498,101000000111,0.8156125545501709,0.3940190809201386
12,5,Local Search,4.0,0.9174348245657369,000010001000,0.7916004657745361,0.6058717247031293
12,5,Local Search,1.0,0.8412155429424634,000001111000,0.1667618751525879,0.336841020715665
12,5,Local Search,2.0,0.9284955087085529,000100110000,0.2707364559173584,0.5527580907048499
12,5,Local Search,1.0,0.7818083430874114,001111001000,0.24959444999694824,0.3035914004742815
12,5,Local Search,3.0,0.9292532183024517,000000000010,0.5158429145812988,0.4733737575314717
12,5,Local Search,4.0,0.9757876487160323,000000100000,0.5835475921630859,0.5176424989162145
12,5,Local Search,1.0,0.7757994682468314,001010001010,0.17267179489135742,0.37993687415580774
12,5,Local Search,3.0,0.9466821426238284,100000000101,0.48438048362731934,0.46113222902925666
12,5,Local Search,3.0,0.8994296538139359,100010000000,0.45842719078063965,0.5952247434262741
12,5,Local Search,3.0,0.8941245650905794,000100001000,0.3957059383392334,0.4087644685886482
12,5,Local Search,2.0,0.7968822524600079,010001111110,0.5683062076568604,0.41024735509054217
12,5,Local Search,3.0,0.9291107558508905,000000000100,0.36992549896240234,0.1563808059864844
12,5,Local Search,3.0,0.9480258443965032,100001000100,0.354356050491333,0.6162345995918159
12,5,Local Search,2.0,0.86764356103251,010001010000,0.36258387565612793,0.4860033242206051
12,5,Local Search,2.0,0.8222563541360195,001000010000,0.23445940017700195,0.22241935163878768
12,5,Local Search,1.0,0.8111631566308182,000111100000,0.18787002563476562,0.22890015557393617
12,5,Local Search,2.0,0.9474289750368022,000000000010,0.25024890899658203,0.30248314730279713
12,5,Local Search,3.0,0.9053279900585013,000000000001,0.4423198699951172,0.321224893784983
12,5,Local Search,3.0,0.8602017617994079,100010010100,0.5626482963562012,0.28047033822678924
12,5,Local Search,2.0,0.8346825502223538,111001010100,0.562415599822998,0.09100008217172417
12,5,Local Search,2.0,0.9696580825151732,000000010000,0.2501401901245117,0.45425564421567843
12,5,Local Search,1.0,0.9526273742958203,001000010010,0.16962528228759766,0.24163833434770776
12,5,Local Search,2.0,0.7953329356698543,001010000100,0.3282949924468994,0.20271046996327813
12,5,Local Search,3.0,0.8661137989424957,000000010000,0.3708827495574951,0.2955360888606625
12,5,Local Search,2.0,0.9708675546721797,000100000000,0.29172611236572266,0.3782570561912513
12,5,Local Search,2.0,0.7951355007674675,000110010000,0.32378482818603516,0.3872149112468869
12,5,Local Search,2.0,0.9548084450124822,100000101000,0.2718508243560791,0.41211093524022735
12,5,Local Search,1.0,0.7511101868753891,101111010111,0.3115673065185547,0.21658257533228653
12,5,Local Search,1.0,0.9604872553700228,100000010000,0.1246938705444336,0.4838203230176952
12,5,Local Search,3.0,0.9774573943534759,000000000100,0.39583730697631836,0.5120112293816894
12,5,Local Search,2.0,0.8664090228275467,000000000001,0.3748960494995117,0.502436366709496
12,5,Local Search,2.0,0.9199666849832181,010000101000,0.35406041145324707,0.4270206021794246
12,5,Local Search,3.0,0.809203660925336,100000100011,0.7033238410949707,0.4075050371298796
12,5,Local Search,1.0,0.6367708454814491,101111111100,0.3280365467071533,0.35597926657451706
12,5,Local Search,2.0,0.8253638869362099,011000001101,0.47931671142578125,0.2924865390844499
12,5,Local Search,2.0,0.9378130486210832,100100000000,0.3072476387023926,0.37501051803139096
12,5,Local Search,4.0,0.9984456022436022,000001000000,0.446915864944458,0.4761758136519333
12,5,Local Search,1.0,0.6740688870614351,011000011000,0.22347474098205566,0.3534034309259595
12,5,Local Search,1.0,0.7642696579477573,010001000010,0.16668248176574707,0.16643747547251975
12,5,Local Search,4.0,0.9278068016399388,000000010000,0.5050389766693115,0.2564772842966597
12,5,Local Search,1.0,0.8647990480383184,101000010010,0.22940444946289062,0.1287422290093575
12,5,Local Search,3.0,0.9237565403227366,000000001000,0.5830938816070557,0.33739175057882265
12,5,Local Search,3.0,0.9347668187972582,101010000000,0.4375119209289551,0.7553557167320043
12,5,Local Search,3.0,0.8451533495397976,000100000100,0.3753852844238281,0.41479477887636373
12,5,Local Search,3.0,0.9189160608263737,010001000001,0.4947509765625,0.3547892220910207
12,5,Local Search,2.0,0.8970529836411169,101101000010,0.45842456817626953,0.5008828540154999
12,5,Local Search,3.0,0.9038367573758803,000001000000,0.4326467514038086,0.45360547211260993
12,5,Local Search,3.0,0.8583466544179693,000100001000,0.520550012588501,0.472345098079498
12,5,Local Search,6.0,0.9596688017600257,000011000000,0.9581139087677002,0.4873318198755068
12,5,Local Search,2.0,0.8325097685591649,000000000001,0.4636070728302002,0.4432957227879341
12,5,Local Search,3.0,0.9845917099020296,001000000010,0.37476348876953125,0.3233753541955693
12,5,Local Search,3.0,0.9733060573037313,010000000001,0.4374120235443115,0.4869065907431187
12,5,Local Search,1.0,0.9938468434638104,100000010000,0.12507295608520508,0.3561464473780762
12,5,Local Search,4.0,0.8596835816090886,000000000100,0.8326058387756348,0.3023413814613155
12,5,Local Search,6.0,0.9682646937819619,100000000000,0.693115234375,0.6528904007300848
12,5,Local Search,4.0,0.9534608522534077,101010100100,1.0830330848693848,0.29850958894297286
12,5,Local Search,2.0,0.9686125399533196,010000100000,0.24986052513122559,0.7359914568400765
12,5,Local Search,5.0,0.9919633387104952,000100000000,0.5363583564758301,0.5898522337572403
12,5,Local Search,3.0,0.937716127137299,100010000000,0.3748793601989746,0.4232926254602938
12,5,Local Search,3.0,0.9721065607778855,000000000001,0.4609804153442383,0.49000981958086975
12,5,Local Search,4.0,0.8174336524889251,101100100101,1.2499170303344727,0.2849663480379908
12,5,Local Search,3.0,0.9502194369577321,000100000010,0.43713879585266113,0.39455863845392125
12,5,Local Search,3.0,0.957098181997796,010000000001,0.4167149066925049,0.3237771730951853
12,5,Local Search,1.0,0.9424995297507408,000010000001,0.1459040641784668,0.2524445453115869
12,5,Local Search,4.0,0.9285749135086007,010000100000,0.5470435619354248,0.4798164158928173
12,5,Local Search,4.0,0.7002171598846408,111100000110,0.9748387336730957,0.37500027634322747
12,5,Local Search,3.0,0.9266820847786092,100010000011,0.40111303329467773,0.1891357995817443
12,5,Local Search,3.0,0.8836920118838023,000000000010,0.5312042236328125,0.46522035149458746
12,5,Local Search,2.0,0.8626815753182302,000010100010,0.24467182159423828,0.13634577715157037
12,5,Local Search,1.0,0.8688773291195753,100011010100,0.2291100025177002,0.47566162093039444
12,5,Local Search,3.0,0.7751384374620423,000001000000,0.354015588760376,0.4586602085836111
12,5,Local Search,3.0,0.9545388487724472,100000001000,0.4740009307861328,0.5004303619947228
12,5,Local Search,0.0,0.6234726654678183,101110111010,0.12502741813659668,0.0
12,5,Local Search,1.0,0.8843913718703069,010001000001,0.19256377220153809,0.2612553551781541
12,5,Local Search,3.0,0.8146362777682575,000100001000,0.3336217403411865,0.34971569851540674
12,5,Local Search,3.0,0.9664297400357645,000000000100,0.60408616065979,0.6425203027894739
12,5,Local Search,5.0,0.9685551369572922,100001010010,0.9738972187042236,0.5695017749360543
12,5,Local Search,2.0,0.8947471147074169,011101111010,0.6333227157592773,0.1271400153554687
12,5,Local Search,2.0,0.948390991415142,000000011000,0.29682207107543945,0.5719090782918104
12,5,Local Search,4.0,0.8004983825888342,010000110101,0.8333706855773926,0.39757225660933126
12,5,Local Search,1.0,0.7708998456933637,000100001010,0.18748927116394043,0.36412831486775793
12,5,Local Search,3.0,0.9739698471991807,000000000001,0.35993194580078125,0.441423017356146
12,5,Local Search,3.0,0.9692590789685462,010000100000,0.4785645008087158,0.5415347221403477
12,5,Local Search,4.0,0.911331452756503,000000001000,0.5052793025970459,0.6669911946192926
12,5,Local Search,1.0,0.8987595352115626,101001000010,0.21431255340576172,0.29217201816098337
12,5,Local Search,4.0,0.9085583239826127,000010000000,0.5834941864013672,0.5324044245620406
12,5,Local Search,4.0,0.8532799436972596,101101000001,0.9217612743377686,0.42596497507271447
12,5,Local Search,1.0,0.9790486355122129,100000100010,0.17181944847106934,0.40458690997239266
12,5,Local Search,3.0,0.846231276155907,001110000010,0.5417265892028809,0.3772783987608
12,5,Local Search,1.0,0.886727501114284,000100010010,0.19258904457092285,0.48882633798066066
12,5,Local Search,3.0,0.8616902431023752,000000000010,0.4948158264160156,0.5719931579631117
12,5,Local Search,4.0,0.9037180840983337,000000000100,0.4792649745941162,0.7707045963133201
