N,K,STRATEGY,SEARCH ITERATIONS,PERFORMANCE,SOLUTION,TIME TAKEN,IMPROVEMENT
12,5,Local Search,1.0,0.8309027581718733,101000010000,0.13940715789794922,0.3658436175899498
12,5,Local Search,2.0,0.8407485008747861,000000001000,0.22758769989013672,0.3489626036315498
12,5,Local Search,3.0,0.7987837480431756,001000010000,0.34136033058166504,0.16785317334268934
12,5,Local Search,2.0,0.9419292575394476,000000000001,0.30036115646362305,0.523976817355732
12,5,Local Search,3.0,0.8387269869904272,000111000100,0.37188029289245605,0.3967670685491364
12,5,Local Search,4.0,0.7014496711459535,001000001000,0.37775278091430664,0.23788100859222494
12,5,Local Search,2.0,0.5591892801853295,100011011000,0.290557861328125,0.16945685726930443
12,5,Local Search,2.0,0.833353990598031,000100000100,0.19028210639953613,0.2436132294696055
12,5,Local Search,3.0,0.885476125475665,000000000010,0.31641411781311035,0.30172095959392387
12,5,Local Search,4.0,0.8570488951614904,010000001001,0.5343577861785889,0.48640018286701286
12,5,Local Search,3.0,0.9360593701389436,000010101000,0.44709086418151855,0.1171194724595992
12,5,Local Search,2.0,0.9286865303406819,000100000000,0.1945645809173584,0.19457880891246038
12,5,Local Search,3.0,0.901694568498022,000010000000,0.33295631408691406,0.2812538028931745
12,5,Local Search,3.0,0.9390407194191239,100000100000,0.413008451461792,0.5239781751995009
12,5,Local Search,4.0,0.8379016528683184,000001000000,0.4765663146972656,0.34536018344057595
12,5,Local Search,3.0,0.8595944277173068,000000100000,0.4184868335723877,0.3027778296474787
12,5,Local Search,3.0,0.954318859727668,000000000001,0.3319127559661865,0.3389715192021314
12,5,Local Search,2.0,0.9955147533990596,010000000000,0.2524874210357666,0.3742148536711529
12,5,Local Search,5.0,0.9899110170870331,000000100000,0.6664156913757324,0.6350212915305111
12,5,Local Search,2.0,0.9721145486101486,000000000001,0.2611501216888428,0.493788995442359
12,5,Local Search,3.0,0.7194960138692006,010111001000,0.4398384094238281,0.3533960126533034
12,5,Local Search,1.0,0.9374081939415295,000100000000,0.11649632453918457,0.35853594058038285
12,5,Local Search,2.0,0.5969557910215323,001111001000,0.2597978115081787,0.3166504386711747
12,5,Local Search,4.0,0.9718057620841514,000000000001,0.4157726764678955,0.4232124317213617
12,5,Local Search,3.0,0.8868918580336731,001000000001,0.38326430320739746,0.3199509713091463
12,5,Local Search,2.0,0.9236045720200617,010000101000,0.24815750122070312,0.46504616999298937
12,5,Local Search,1.0,0.7593881953884425,010000000000,0.09307980537414551,0.3341294240322533
12,5,Local Search,3.0,0.9296154093362845,000000100100,0.47837114334106445,0.5107899860331107
12,5,Local Search,2.0,0.8759093041119752,000000000001,0.27217864990234375,0.37686729886463005
12,5,Local Search,3.0,0.7374973774156879,110000101000,0.40058326721191406,0.27124089544153035
12,5,Local Search,4.0,0.7615587665200804,000000001000,0.41785216331481934,0.4447814040849376
12,5,Local Search,2.0,0.8851919841152668,100000000000,0.25930142402648926,0.4995470511919243
12,5,Local Search,2.0,0.9430783273104001,001000000000,0.31630897521972656,0.44712932763247615
12,5,Local Search,2.0,0.9476312406215531,000000000010,0.27918195724487305,0.3944076563449198
12,5,Local Search,3.0,0.9480193782974354,001000000010,0.3558807373046875,0.42505264483155303
12,5,Local Search,2.0,0.8553921889656844,000001100000,0.24524664878845215,0.37625780687077043
12,5,Local Search,2.0,0.996626538000188,000000000001,0.24138307571411133,0.3858664455560259
12,5,Local Search,3.0,0.8567621812934625,000000000001,0.3560521602630615,0.6200926598325531
12,5,Local Search,1.0,0.837335068333602,001101001000,0.14026260375976562,0.23085064921476306
12,5,Local Search,3.0,0.8044344248066329,000100001000,0.320497989654541,0.5007405788683893
12,5,Local Search,4.0,0.8863750829270457,000000010000,0.33438801765441895,0.20694833665402723
12,5,Local Search,7.0,0.8869041511709701,000000001001,0.9238672256469727,0.2516470219231933
12,5,Local Search,3.0,0.8226503159060188,100010000000,0.3173220157623291,0.24008039174144713
12,5,Local Search,2.0,0.9779153137028795,010010000000,0.24564838409423828,0.4176401565756188
12,5,Local Search,2.0,0.9738828862634682,000000000010,0.21204161643981934,0.4994586226947366
12,5,Local Search,3.0,0.882515053406472,001000001000,0.3616156578063965,0.39615605411615895
12,5,Local Search,2.0,0.678892535898835,000100110000,0.23859786987304688,0.1716072916321938
12,5,Local Search,3.0,0.9464588139244798,000001001000,0.35440850257873535,0.47936976992015023
12,5,Local Search,2.0,0.9802104544222398,000000001100,0.2661929130554199,0.3464867757242527
12,5,Local Search,2.0,0.83374102438948,000100001000,0.29723167419433594,0.29343333003243643
12,5,Local Search,2.0,0.790434838856987,101010001000,0.23221802711486816,0.3580355850254951
12,5,Local Search,3.0,0.9640288499948484,000001000000,0.3378722667694092,0.4462104446580105
12,5,Local Search,2.0,0.6238365921910448,001010001000,0.2760188579559326,0.3503168715022794
12,5,Local Search,2.0,0.9964323119979592,000100000000,0.2653071880340576,0.29663882988098067
12,5,Local Search,3.0,0.8040429008984975,000100000100,0.3267519474029541,0.3109686190527445
12,5,Local Search,2.0,0.8160118267019906,000100100100,0.2578389644622803,0.2656596390434647
