N,K,STRATEGY,SEARCH ITERATIONS,PERFORMANCE,SOLUTION,TIME TAKEN,IMPROVEMENT
12,5,Local Search,0.0,0.7472533450571143,110010111100,0.15748119354248047,0.0
12,5,Local Search,0.0,0.77727661055017,010101111100,0.15967559814453125,0.0
12,5,Local Search,1.0,0.9271063329343577,110110000111,0.30330657958984375,0.34444817290312224
12,5,Local Search,1.0,0.9530130901329366,000001010011,0.24504756927490234,0.84727685548707
12,5,Local Search,0.0,0.9442292229229738,000010001011,0.10421323776245117,0.0
12,5,Local Search,1.0,0.9654702310264502,000000100100,0.1451549530029297,0.19820756540363116
12,5,Local Search,2.0,0.9193935160497343,001100101001,0.43737030029296875,0.8860504747814881
12,5,Local Search,2.0,0.9620346918873535,101011011100,0.4372866153717041,0.1433247422428806
12,5,Local Search,2.0,0.9851939456166438,001000100001,0.2002582550048828,0.29398499860555927
12,5,Local Search,2.0,0.989193476984785,000010111010,0.2973959445953369,0.4090804656564654
12,5,Local Search,1.0,0.979921093868829,001100011010,0.22957921028137207,0.19460625744280158
12,5,Local Search,0.0,0.9314176615279074,000100001100,0.10402345657348633,0.0
12,5,Local Search,2.0,0.9611191487129205,010101011101,0.40083980560302734,0.41504820309331447
12,5,Local Search,1.0,0.9295741859855587,101111101101,0.291581392288208,0.3298367578185475
12,5,Local Search,1.0,0.9932706014154737,111110100001,0.29171013832092285,0.1626417565410232
12,5,Local Search,1.0,0.9794612296338048,001001111000,0.19267725944519043,0.6695320295812831
12,5,Local Search,1.0,0.9926252143221281,110101111100,0.31244397163391113,0.6223176806607524
12,5,Local Search,1.0,0.9717395178332582,101101011110,0.33840203285217285,0.18553762938299168
12,5,Local Search,2.0,0.8980812042594972,101110000000,0.2710742950439453,0.27233097642391446
12,5,Local Search,2.0,0.9978703663246653,100100001110,0.3005959987640381,0.8807374358215863
12,5,Local Search,2.0,0.9891462821765415,011000001001,0.31255221366882324,0.5194127118356546
12,5,Local Search,2.0,0.9587150629278314,100101001001,0.354095458984375,0.14515239872602026
12,5,Local Search,1.0,0.7883815187672639,111001101101,0.31253957748413086,0.6374741677270469
12,5,Local Search,1.0,0.7128649184010046,111101001011,0.3296818733215332,0.1073669234940614
12,5,Local Search,1.0,0.9338721354417902,111100100100,0.29175448417663574,0.5496924729187519
12,5,Local Search,0.0,0.9444497097026584,011101000101,0.1250450611114502,0.0
12,5,Local Search,2.0,0.9953532075681668,101111111100,0.5124340057373047,0.8578757698222031
12,5,Local Search,1.0,0.9797347689286416,010011111000,0.2498760223388672,0.8725777368597121
12,5,Local Search,1.0,0.8872639090680361,100110000011,0.18738460540771484,0.0848489565771865
12,5,Local Search,1.0,0.9597074256813569,111001000001,0.20314645767211914,0.925993668497984
12,5,Local Search,2.0,0.9087048687022243,110001101110,0.3746817111968994,0.8252602538542848
12,5,Local Search,2.0,0.9910680827167686,001111111110,0.5208539962768555,0.8006090814923158
12,5,Local Search,2.0,0.9904606794450197,111111100101,0.5657668113708496,0.4507027269113174
12,5,Local Search,2.0,0.9733223147262208,111011000011,0.4217972755432129,0.6538005090605632
12,5,Local Search,1.0,0.8656042981409796,101010001011,0.2500760555267334,0.14912924819039142
12,5,Local Search,1.0,0.9188119172574654,101100111110,0.3487875461578369,0.378613511672361
12,5,Local Search,1.0,0.9991331048219395,110011000010,0.20835590362548828,0.9622398384498629
12,5,Local Search,1.0,0.9391781313093374,101010100000,0.17838215827941895,0.41099536871411857
12,5,Local Search,2.0,0.9732040041186404,100001011101,0.33857226371765137,0.2081845953970567
12,5,Local Search,1.0,0.9982544923529713,100100000111,0.20845651626586914,0.21101537949787186
12,5,Local Search,0.0,0.9961344340868513,101101001010,0.12529540061950684,0.0
12,5,Local Search,1.0,0.9687502172045193,011000000010,0.1250147819519043,0.19054539382194013
12,5,Local Search,0.0,0.7469379669957319,101100101010,0.12488961219787598,0.0
12,5,Local Search,2.0,0.9695043765002838,111000111011,0.440692663192749,0.8202809439382145
12,5,Local Search,1.0,0.9728751388496819,111010100110,0.28365015983581543,0.3663926617678982
12,5,Local Search,2.0,0.9114011521979333,100110100100,0.35446953773498535,0.7569809505089352
12,5,Local Search,2.0,0.9198387637223442,001010010011,0.31186699867248535,0.8422998538841251
12,5,Local Search,1.0,0.8584161164902601,011100110011,0.2509582042694092,0.34929580845892527
12,5,Local Search,1.0,0.9984163326380074,100001010100,0.1667647361755371,0.25033844519563797
12,5,Local Search,3.0,0.8154848290279116,100010111101,0.5624964237213135,0.6633113058686385
12,5,Local Search,1.0,0.8905832376403675,110101101111,0.33309340476989746,0.6340790457487329
12,5,Local Search,2.0,0.888137891995501,111111100010,0.5001308917999268,0.328960691227295
12,5,Local Search,2.0,0.999698099680739,111111110101,0.5881388187408447,0.8995343444835088
12,5,Local Search,1.0,0.9090191766902468,110000011001,0.2919046878814697,0.11905493864470196
12,5,Local Search,0.0,0.7927170734349659,000011100110,0.10935854911804199,0.0
12,5,Local Search,3.0,0.8671384472521871,001100001010,0.41149330139160156,0.8316754973713346
12,5,Local Search,0.0,0.8495210990898803,101111001111,0.178877592086792,0.0
12,5,Local Search,2.0,0.9698340453496543,111110010110,0.5055186748504639,0.6390921266121006
12,5,Local Search,1.0,0.8941603213431415,001110011101,0.3128969669342041,0.5935708343986141
12,5,Local Search,1.0,0.8803588454197548,011011100011,0.2966878414154053,0.7736527078246597
12,5,Local Search,2.0,0.9483047121413256,011101000111,0.4224274158477783,0.5576736236370264
12,5,Local Search,1.0,0.9785775876004473,001000000000,0.11945891380310059,0.8309959563849358
12,5,Local Search,3.0,0.9825515828744826,101011111000,0.5992550849914551,0.3080658354869501
12,5,Local Search,0.0,0.703546273649393,000111101001,0.12873339653015137,0.0
12,5,Local Search,1.0,0.8937954052612626,100101111001,0.33389759063720703,0.5511403672741232
12,5,Local Search,0.0,0.9162689969906099,000000111110,0.08867883682250977,0.0
12,5,Local Search,4.0,0.9717549748974345,100010010100,0.6249239444732666,0.8235987472129749
12,5,Local Search,3.0,0.7935197420793781,011100011001,0.5626411437988281,0.6533242595707998
12,5,Local Search,3.0,0.9991922460764685,101111001100,0.5885226726531982,0.42362538265188043
12,5,Local Search,3.0,0.9801929477312382,100110100101,0.5208051204681396,0.5459449063188468
12,5,Local Search,3.0,0.9637572113172191,001110001110,0.5213413238525391,0.7222499590807746
12,5,Local Search,4.0,0.9796512743542636,011111000000,0.6664128303527832,0.49461755676814106
