N,K,STRATEGY,SEARCH ITERATIONS,PERFORMANCE,SOLUTION,TIME TAKEN,IMPROVEMENT
12,5,Local Search,3.0,0.8931584086996861,100000000100,0.17978763580322266,0.4922337056858079
12,5,Local Search,5.0,0.8372441597041407,110000110101,0.3891448974609375,0.5097178513624565
12,5,Local Search,2.0,0.693486833821031,100110011111,0.2312636375427246,0.2239377693317003
12,5,Local Search,2.0,0.7029621930387122,011000010011,0.16009902954101562,0.1850468262458561
12,5,Local Search,4.0,0.8035053089604255,100100110011,0.40264344215393066,0.2926284505924439
12,5,Local Search,6.0,0.9220061372100677,110010000001,0.3787071704864502,0.33174332446846055
12,5,Local Search,2.0,0.9684445234446695,001000000100,0.1274256706237793,0.36053613865406076
12,5,Local Search,4.0,0.7892258205289505,111010100001,0.3071587085723877,0.2987159513302384
12,5,Local Search,1.0,0.8774670340546301,100000000000,0.048287391662597656,0.2839304357204171
12,5,Local Search,2.0,0.888955649033703,100001000010,0.11320614814758301,0.32084321616274825
12,5,Local Search,3.0,0.7777506996642555,101001001000,0.21024727821350098,0.4179604669343872
12,5,Local Search,4.0,0.9400622950311257,101001001000,0.2869858741760254,0.26575740915821466
12,5,Local Search,2.0,0.7279668849092922,011101101001,0.22596335411071777,0.10304337477824566
12,5,Local Search,4.0,0.8930518193262202,110000110001,0.27050328254699707,0.134818536458987
12,5,Local Search,2.0,0.7487172210862779,101001000100,0.17563652992248535,0.18653562461184747
12,5,Local Search,2.0,0.7250611081468926,111110010000,0.2246227264404297,0.22583768616476335
12,5,Local Search,2.0,0.8879903263147094,100100000001,0.11361408233642578,0.7469599131626233
12,5,Local Search,2.0,0.6640103682178031,101111011110,0.29024481773376465,0.16862675420205642
12,5,Local Search,3.0,0.9218740235382378,000111000100,0.2296750545501709,0.4087327612490902
12,5,Local Search,2.0,0.8305117795609641,010001110011,0.1554703712463379,0.6523222224945234
12,5,Local Search,6.0,0.961441763450461,100101001000,0.3718132972717285,0.29136188965906706
12,5,Local Search,4.0,0.8788233843612291,101000000010,0.20998549461364746,0.36589372955229504
12,5,Local Search,1.0,0.8288371207849472,000001110010,0.11275506019592285,0.4086537868101383
12,5,Local Search,1.0,0.745097529446511,000101000011,0.07953953742980957,0.21720756248887474
12,5,Local Search,2.0,0.7657714647834993,110100110101,0.20716547966003418,0.18036881042580144
12,5,Local Search,3.0,0.9175501510453518,101001010000,0.19336318969726562,0.41862772250479036
12,5,Local Search,3.0,0.7776433673365686,000110000001,0.20949387550354004,0.2816798840885335
12,5,Local Search,3.0,0.7313654955810317,110110000111,0.3246119022369385,0.20895597659156961
12,5,Local Search,1.0,0.7660840388967931,101001000100,0.11166644096374512,0.11303114651738544
12,5,Local Search,1.0,0.7659221852609432,101110110011,0.1655566692352295,0.03223752300817895
12,5,Local Search,3.0,0.8221245174444662,111111111010,0.4209761619567871,0.41336378793263046
12,5,Local Search,3.0,0.8827317921987611,101001110100,0.2913072109222412,0.477879567099775
12,5,Local Search,1.0,0.992155462711591,000001000000,0.04889726638793945,0.44531044940898123
12,5,Local Search,4.0,0.8919437457759121,011100000010,0.324084997177124,0.30672366378690397
12,5,Local Search,3.0,0.7740557820246843,011101110011,0.35430288314819336,0.41577153775707193
