N,K,STRATEGY,SEARCH ITERATIONS,PERFORMANCE,SOLUTION,TIME TAKEN,IMPROVEMENT
12,5,Local Search,11.0,0.9966526092724638,100111111011,0.13642847935358685,0.1899298131858631
12,5,Local Search,11.0,0.9901152511516809,111001001000,0.10175939003626505,0.6747058917712536
12,5,Local Search,11.0,0.9823526708022888,010100101110,0.12436620791753134,0.7744650819972484
12,5,Local Search,11.0,0.914611702604185,000100000110,0.06837179660797119,0.30989161945678445
12,5,Local Search,11.0,0.989459460355319,000000000001,0.03391921917597453,0.303279913760533
12,5,Local Search,11.0,0.9960018719739622,111101100110,0.13651518821716307,0.5383252157423689
12,5,Local Search,11.0,0.9407753583403449,010010000001,0.0766310175259908,0.3652684136195301
12,5,Local Search,11.0,0.9748149238277569,110001111100,0.14547557830810548,0.9019932134352852
12,5,Local Search,11.0,0.9991650281233595,110100001100,0.09253764947255452,0.30430103217970583
12,5,Local Search,11.0,0.9883110673962372,101000101010,0.10026872555414836,0.4874996988361281
12,5,Local Search,11.0,0.9915770956048526,010111010110,0.0844155192375183,0.019564886220712063
12,5,Local Search,11.0,0.9963727905701388,100000100001,0.0814446489016215,0.8145922616291489
12,5,Local Search,11.0,0.9839258747700022,000000001000,0.04676350752512614,0.3980979967123338
12,5,Local Search,11.0,0.9769540199482903,010100010001,0.09006656010945638,0.6835944997329011
12,5,Local Search,11.0,0.9879974756800659,000011110111,0.08584174315134684,0.17061666724474756
12,5,Local Search,11.0,0.9745016211004937,110101111000,0.11818256378173828,0.2211184315266307
12,5,Local Search,11.0,0.9733349339219258,000001000000,0.03971477349599203,0.20764854903928842
12,5,Local Search,11.0,0.9985014447198163,010001000010,0.05494765837987264,0.5116915962694324
12,5,Local Search,11.0,0.9936948174482847,000001101001,0.08584540685017904,0.2862984105189026
12,5,Local Search,11.0,0.8958729981345088,011110001101,0.04859271049499512,0.0
12,5,Local Search,11.0,0.9903101221605475,000001000000,0.04469681978225708,0.32149327446972786
12,5,Local Search,11.0,0.9359730818125964,000000010000,0.042823235193888344,0.18106211834057695
12,5,Local Search,11.0,0.9901148470720038,111110111011,0.06159001191457113,0.0
12,5,Local Search,11.0,0.9321882619936644,000001000000,0.040346912542978924,0.05625122007575323
12,5,Local Search,11.0,0.908572205695293,111000111101,0.048545563220977785,0.0
12,5,Local Search,11.0,0.9903195493994434,101010011110,0.043851439158121744,0.0
12,5,Local Search,11.0,0.988900420134807,101110010110,0.09852447112401326,0.9463703499371804
12,5,Local Search,11.0,0.9787509364605128,100110011010,0.10717206001281739,0.29482580093641053
12,5,Local Search,11.0,0.9627322590629459,111100111101,0.058029492696126304,0.0
12,5,Local Search,11.0,0.972297450443721,110110000010,0.09879601001739502,0.834302890585262
12,5,Local Search,11.0,0.9958392657709619,111011000101,0.1524204691251119,0.6398145409397644
12,5,Local Search,11.0,0.9871773464260852,001011110001,0.07508467038472494,0.5703105663456035
12,5,Local Search,11.0,0.9932563062782943,000011110010,0.0371928334236145,0.0
12,5,Local Search,11.0,0.9978396692122212,100010010110,0.09418801069259644,0.27289507492016696
12,5,Local Search,11.0,0.9110794928130594,000000000010,0.0367048978805542,0.08590945432547814
12,5,Local Search,11.0,0.9773087750591591,101110100011,0.12484831809997558,0.7245483333894513
12,5,Local Search,11.0,0.9986433137062214,110110101110,0.16310446262359618,0.4965249141983392
